"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
568.343,"0:09:28",3176.73,9058.91,3093.33,3110.71,18.56,3943.94,474.26,3428.8,"16","dragonflye_hybrid","Lerminiaux_isolateG"
784.0586,"0:13:04",3662.43,8485.14,3562.42,3580.54,0,3633.27,335.67,3109.23,"8","dragonflye_hybrid","Lerminiaux_isolateG"
535.625,"0:08:55",3900.3,9058.9,3803.68,3821.13,518.1,2521.8,497.51,3230.79,"16","dragonflye_long","Lerminiaux_isolateG"
812.3265,"0:13:32",3771.38,8485.11,3672.63,3690.69,0.04,2522.04,378.38,3394.31,"8","dragonflye_long","Lerminiaux_isolateG"
2248.5569,"0:37:28",3400.94,28775.86,3369.7,3379.58,32.79,31175.65,514.01,14324.73,"16","hybracter_hybrid","Lerminiaux_isolateG"
3190.0393,"0:53:10",3861.93,27109.42,3735.39,3762.18,6.72,31153.91,346.69,13130.35,"8","hybracter_hybrid","Lerminiaux_isolateG"
2271.4546,"0:37:51",3476.77,27766.34,3452.54,3459.07,1.18,8844.09,553.64,14100.22,"16","hybracter_long","Lerminiaux_isolateG"
3145.9388,"0:52:25",4426.72,12004.57,4360.32,4381.54,2.36,8897.28,378.03,12956.5,"8","hybracter_long","Lerminiaux_isolateG"
5087.0969,"1:24:47",8562.12,14066.04,8546.68,8551.68,0,69086.73,1102.27,59736.7,"16","unicycler","Lerminiaux_isolateG"
8882.1429,"2:28:02",4649.47,6832.97,4632.21,4635.99,830.25,73031.61,642.39,58719.92,"8","unicycler","Lerminiaux_isolateG"
428.3215,"0:07:08",3934.57,9060.82,3822.98,3840.84,0,2786.74,339.27,2197.4,"16","dragonflye_hybrid","Lerminiaux_isolateH"
656.1323,"0:10:56",3992.01,8487.05,3881.6,3899.91,398.69,3790.31,321.47,2641.1,"8","dragonflye_hybrid","Lerminiaux_isolateH"
399.5459,"0:06:39",3893.46,9060.8,3782.71,3800.69,510.26,2471.58,366.28,2082,"16","dragonflye_long","Lerminiaux_isolateH"
486.6388,"0:08:06",3898.27,8487.04,3786.61,3805.08,0.01,2469.92,273.28,1932.27,"8","dragonflye_long","Lerminiaux_isolateH"
1701.0479,"0:28:21",4045.19,58823.4,3915.87,3939.46,28.55,25259.43,474.58,9862.67,"16","hybracter_hybrid","Lerminiaux_isolateH"
2452.7119,"0:40:52",4145.41,26035.54,4005.36,4032.38,35.79,25247.22,355.98,10229.4,"8","hybracter_hybrid","Lerminiaux_isolateH"
1448.4339,"0:24:08",4053.65,27742.42,3925.04,3948.47,0.09,8389.55,559.16,9064.44,"16","hybracter_long","Lerminiaux_isolateH"
1995.2559,"0:33:15",4312.33,27670.95,4184.45,4212.77,4.73,8358.46,400.45,9305.49,"8","hybracter_long","Lerminiaux_isolateH"
3317.6455,"0:55:17",4656.97,5815.95,4727.5,4727.63,22.82,4403.18,1405.77,47308.38,"16","unicycler","Lerminiaux_isolateH"
8074.2277,"2:14:34",4740.65,6832.92,4720.26,4724.84,798.63,58343.2,670.52,55972.35,"8","unicycler","Lerminiaux_isolateH"
542.5052,"0:09:02",3788.05,9066.62,3692.4,3709.61,0,3126.81,372.47,2928.31,"16","dragonflye_hybrid","Lerminiaux_isolateI"
798.9263,"0:13:18",3777.05,4651.8,3681.95,3699.41,0,3592.99,328.16,2978.87,"8","dragonflye_hybrid","Lerminiaux_isolateI"
