"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample","Logic"
422.1676,"0:07:02",1755.95,8500.65,1748.35,1749,0,2536.54,241.67,1255.04,"8","dragonflye_long","Lerminiaux_isolateI","Last"
2676.0462,"0:44:36",6197.26,17746.86,6146.15,6153.81,0.17,24322.65,555.78,15998.21,"16","hybracter_hybrid","Lerminiaux_isolateI","Last"
3281.021,"0:54:41",7049.42,13572.18,6891.93,6899.59,1.61,24305.92,400.2,14102.96,"8","hybracter_hybrid","Lerminiaux_isolateI","Last"
1790.4945,"0:29:50",7969.36,16427.36,8321.44,8329.02,0.17,8817.91,529.91,10142.49,"16","hybracter_long","Lerminiaux_isolateI","Last"
2168.6724,"0:36:08",6535.6,13162.64,6298.86,6306.51,0.15,8754.45,364.3,8497.83,"8","hybracter_long","Lerminiaux_isolateI","Last"
2063.0343,"0:34:23",7464.87,13806.9,7448.73,7453.84,0,48357.76,918.41,21592.75,"16","unicycler","Lerminiaux_isolateI","Last"
3136.0698,"0:52:16",4470.43,6062.85,4426.91,4427.07,0.01,50219.54,589.74,20269.6,"8","unicycler","Lerminiaux_isolateI","Last"
232.4217,"0:03:52",1533.09,9001.72,1312.71,1313.51,0.08,2369.88,183.67,595.55,"16","dragonflye_hybrid","Lerminiaux_isolateJ","Last"
269.3966,"0:04:29",1708.17,8427.95,1691.67,1693.11,0,1807.73,95.73,570.14,"8","dragonflye_hybrid","Lerminiaux_isolateJ","Last"
212.8107,"0:03:32",2098.22,8937.74,2091.41,2092.09,0.2,1389.8,196.31,642.67,"16","dragonflye_long","Lerminiaux_isolateJ","Last"
250.7174,"0:04:10",2154.51,8427.96,2146.41,2147.1,0.06,1390,99.9,501.66,"8","dragonflye_long","Lerminiaux_isolateJ","Last"
1489.9895,"0:24:49",6264.46,17249.11,6235.1,6242.66,0.39,17056.97,340.92,5456.49,"16","hybracter_hybrid","Lerminiaux_isolateJ","Last"
